stroke_team,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt
Addenbrooke's Hospital,lvo,109.0,0.308868501529052,0.09021406727828746,0.5423728813559322,0.6880733944954128,0.8355555555555556,0.9867021276595744,0.9407008086253369,1.0,0.5558739255014327,4.494951583719121,0.5472078955069787,3.467544855453498,0.5870180053302492,2.7641647231471795,1.18602152515865,0.6880733944954128,0.9466666666666667,0.9906103286384976,0.976303317535545,0.9975728155339806,0.11435523114355231,4.6468140205322825,0.665482544156698,3.508645650461371,0.6514320448901512,4.426764900729784,1.1083976434079452
Addenbrooke's Hospital,nlvo,424.5,0.12446014919513153,0.012563800549666274,0.4375,0.5614448370632116,0.6111888111888112,0.9324942791762014,0.7950920245398773,1.0,0.44135802469135804,4.6948309222759885,0.5583235196697689,3.776398919912781,0.7318643097333294,2.8266865232154683,1.0158646669143387,0.5614448370632116,0.786013986013986,0.9813167259786477,0.914777878513146,0.9920713577799801,0.023976023976023976,4.938710022325989,0.6771934157271691,3.958268469928444,0.8558584600246543,4.118428986194237,1.5826352162482238
Addenbrooke's Hospital,other,54.833333333333336,0.0,0.0,,0.6139817629179332,0.7871287128712872,0.9748427672955975,0.8774193548387097,1.0,0.0,4.664528021651999,0.4890293879188817,3.5175029433907983,0.7049073797046711,,,0.6139817629179332,0.8960396039603961,0.9834254143646409,0.9662921348314607,1.0,0.0,4.8019941320518935,0.5951315081442077,3.5717089311678607,0.7401956665955901,,
Basildon University Hospital,lvo,73.0,0.3287671232876712,0.0547945205479452,0.625,0.6484018264840182,0.7852112676056338,0.9865470852017937,0.9772727272727273,1.0,0.6372093023255814,4.478399294933801,0.4623947437160081,1.844689238267724,1.385407355931604,3.4208432029481157,0.7166121852751688,0.6484018264840182,0.8626760563380281,0.9877551020408163,0.9917355371900827,0.9958333333333333,0.0794979079497908,4.593202015723461,0.5766270251115827,1.958741091801991,1.438109202005929,5.132675033260056,0.7283221020433018
Basildon University Hospital,nlvo,361.5,0.10603964960811434,0.005071461502996773,0.5454545454545454,0.6514522821576764,0.5116772823779193,0.9557399723374828,0.8552821997105644,1.0,0.3587140439932318,4.6364910790896205,0.5539988682379149,2.6600277718783887,1.550562085622885,3.367122601211014,0.9047194001262172,0.6514522821576764,0.673036093418259,0.9768664563617245,0.8998923573735199,0.9880382775119617,0.012106537530266344,4.922955022921158,0.709756994605253,3.0493949241230083,1.6426915556212875,5.7471745363757245,0.27670409567568455
Basildon University Hospital,other,45.0,0.0,0.0,,0.6259259259259259,0.6745562130177515,0.9122807017543859,0.9038461538461539,1.0,0.0,4.619301478221095,0.44592700696861864,2.52847314297322,1.4692615258451172,,,0.6259259259259259,0.834319526627219,0.9645390070921985,0.9338235294117647,1.0,0.0,4.857021430109603,0.6368275729851187,2.8662393756953364,1.5671516980073195,,
Blackpool Victoria Hospital,lvo,108.16666666666667,0.21571648690292758,0.04930662557781202,0.46875,0.551617873651772,0.7793296089385475,0.985663082437276,0.9309090909090909,1.0,0.4921875,4.353397519090247,0.632269585071259,3.410411549170069,0.8003150867882987,3.463959769954116,0.9030201062193195,0.551617873651772,0.9106145251396648,0.9846625766871165,0.9657320872274143,0.9870967741935484,0.0718954248366013,4.56223432481562,0.7797253984597275,3.523115212617403,0.9175909378583974,4.592824086105227,0.97245952637561
Blackpool Victoria Hospital,nlvo,298.0,0.06263982102908278,0.0005592841163310962,0.0,0.4121923937360179,0.6173677069199457,0.9142857142857143,0.8533653846153846,1.0,0.28169014084507044,4.548118171436586,0.5838390777022275,3.6964132231823656,0.77257231182596,3.436972012958924,0.8198048630744923,0.4121923937360179,0.7747625508819539,0.9737302977232924,0.8723021582733813,0.9876288659793815,0.0,4.809456354921224,0.7396930353965107,4.015483803851311,0.9587465822226237,,
Blackpool Victoria Hospital,other,67.16666666666667,0.0,0.0,,0.4441687344913151,0.8100558659217877,0.9448275862068966,0.9051094890510949,1.0,0.0,4.49019754101631,0.5315470257318747,3.5456461688090415,0.816089508145824,,,0.4441687344913151,0.8659217877094972,0.967741935483871,0.9733333333333334,0.9931506849315068,0.0,4.5737444398089755,0.6068181510874484,3.67205020970924,0.9136408645818958,,
Bradford and Airedale SU,lvo,119.33333333333333,0.1857541899441341,0.0111731843575419,0.5,0.46787709497206703,0.8597014925373134,0.9861111111111112,0.9084507042253521,1.0,0.4883720930232558,4.512393825727504,0.4814510505688178,3.5437530432559967,0.8643857024659709,3.754421648013151,0.62264082441481,0.46787709497206703,0.9253731343283582,0.9935483870967742,0.974025974025974,0.9933333333333333,0.02348993288590604,4.604801441852132,0.5743598494193262,3.630464158224129,0.9057508194656253,5.348380638072176,0.4819491800425282
