,Thrombolysis_rate_(%)_(median),Thrombolysis_rate_(%)_(low_5%),Thrombolysis_rate_(%)_(high_95%),Thrombolysis_rate_(%)_(mean),Thrombolysis_rate_(%)_(stdev),Thrombolysis_rate_(%)_(95ci),Thrombectomy_rate_(%)_(median),Thrombectomy_rate_(%)_(low_5%),Thrombectomy_rate_(%)_(high_95%),Thrombectomy_rate_(%)_(mean),Thrombectomy_rate_(%)_(stdev),Thrombectomy_rate_(%)_(95ci),LVO_IVT_mean_shift_(median),LVO_IVT_mean_shift_(low_5%),LVO_IVT_mean_shift_(high_95%),LVO_IVT_mean_shift_(mean),LVO_IVT_mean_shift_(stdev),LVO_IVT_mean_shift_(95ci),LVO_MT_mean_shift_(median),LVO_MT_mean_shift_(low_5%),LVO_MT_mean_shift_(high_95%),LVO_MT_mean_shift_(mean),LVO_MT_mean_shift_(stdev),LVO_MT_mean_shift_(95ci),nLVO_IVT_mean_shift_(median),nLVO_IVT_mean_shift_(low_5%),nLVO_IVT_mean_shift_(high_95%),nLVO_IVT_mean_shift_(mean),nLVO_IVT_mean_shift_(stdev),nLVO_IVT_mean_shift_(95ci),LVO_IVT_mean_added_utility_(median),LVO_IVT_mean_added_utility_(low_5%),LVO_IVT_mean_added_utility_(high_95%),LVO_IVT_mean_added_utility_(mean),LVO_IVT_mean_added_utility_(stdev),LVO_IVT_mean_added_utility_(95ci),LVO_MT_mean_added_utility_(median),LVO_MT_mean_added_utility_(low_5%),LVO_MT_mean_added_utility_(high_95%),LVO_MT_mean_added_utility_(mean),LVO_MT_mean_added_utility_(stdev),LVO_MT_mean_added_utility_(95ci),nLVO_IVT_mean_added_utility_(median),nLVO_IVT_mean_added_utility_(low_5%),nLVO_IVT_mean_added_utility_(high_95%),nLVO_IVT_mean_added_utility_(mean),nLVO_IVT_mean_added_utility_(stdev),nLVO_IVT_mean_added_utility_(95ci),onset_to_needle_mins(mean),onset_to_puncture_mins(mean)
Addenbrooke's Hospital,1.4054514480408859e+01,12.819420783645656,15.570698466780236,14.088586030664397,0.9837248487514018,0.6097077744106745,1.7035775127768313,1.51618398637138,3.006814310051107,2.0102214650766608,0.5835426497973937,0.36167683548226504,-0.09785328208789096,-0.11315291635196928,-0.0780434832252969,-0.09802184071518817,0.013142638835166783,0.008145742261409378,-0.3938961380733351,-0.5881134941663306,-0.24949686020813078,-0.3956133883057825,0.12640218790308236,0.07834344813475819,-0.42407671214357445,-0.4399089333216507,-0.3888282834067574,-0.41978036115126943,0.01814038634028629,0.011243321337794987,0.023222218079738243,0.01949957462047164,0.026077363233051914,0.02324721429264327,0.002463427343668251,0.0015268200300488054,0.08130470784547383,0.0532790497852447,0.11839352290511404,0.08136208905998485,0.024171387804399307,0.014981306085073753,0.07873852608397613,0.07247941517826732,0.08159914646639956,0.07800715199077618,0.0032363737665936374,0.00200588838321554,177.20829265759943,330.6805425495557
Basildon University Hospital,12.734864300626306,11.837160751565762,14.4258872651357,13.02713987473904,1.009406506024704,0.6256251380100153,1.1482254697286014,0.2818371607515658,1.899791231732776,1.0647181628392484,0.5859578130833927,0.36317374168913164,-0.11458586810810067,-0.13496673022528688,-0.0933585715958599,-0.11454112042312159,0.015488413425430508,0.009599641699361103,-0.433068352831393,-0.5395076293200416,-0.10590632426545399,-0.383197347018827,0.1748877045825539,0.10839453051141462,-0.43872663733468664,-0.46091453978345553,-0.4161627451386157,-0.43776879156506476,0.017285502778421908,0.010713468752952593,0.026311574890594585,0.022377864658902846,0.030113554208655368,0.026314203659062278,0.00288067175176569,0.0017854260414444552,0.08947961456749992,0.02611098521100899,0.10914462027038223,0.07945680193447985,0.03359619798439083,0.020822756615045956,0.08128192969665446,0.07721803008653165,0.08517967573916559,0.08105844712498644,0.0030842386987622013,0.0019115958239342978,167.18707874771036,373.2574074074074
Blackpool Victoria Hospital,8.562367864693446,6.8604651162790695,9.957716701902747,8.435517970401694,1.2385871177209482,0.7676701426398687,0.8456659619450317,0.09513742071881608,1.8287526427061302,0.909090909090909,0.63854158083576,0.39576489972190565,-0.09482233853527403,-0.11304341211187001,-0.06171269554495255,-0.08933389257776783,0.018639437470709102,0.011552630749297008,-0.6196166004344831,-0.7972955840234704,-0.2896616265287238,-0.5772355952592044,0.1838140145525468,0.11392701308762687,-0.42738560043276796,-0.46146342093557563,-0.37490004110580233,-0.420239616279049,0.031927790663451874,0.019788686045667414,0.022645517654591482,0.016450654098480844,0.026016263949653104,0.021611673088544482,0.0034777721653361914,0.002155505911562449,0.12421758445542079,0.06156634606741331,0.15724380200364835,0.11603125128268912,0.034748372544580956,0.02153686868379949,0.07925249182534932,0.070028531751681,0.08537796668754569,0.07805513235967126,0.005645691451114295,0.0034991715153249725,181.11525979153697,262.71164021164014
Bradford and Airedale SU,7.192374350086655,5.701906412478336,8.31889081455806,7.140381282495666,0.9126940569904798,0.5656832425365961,0.17331022530329288,0.0,0.34662045060658575,0.1559792027729636,0.15174957292390176,0.0940536314525731,-0.07765930813972868,-0.09324474197469484,-0.0648092929646309,-0.07823394590728985,0.009841933051388769,0.006099981213524841,-0.12899704542338397,-0.38092025921967454,0.06801033298742831,-0.147559379197823,0.20083603812814785,0.12447717873955552,-0.3536281476999916,-0.37524785311966746,-0.31647644857767493,-0.3478977319280738,0.02416452487804531,0.014977052477412489,0.019456549351922262,0.01709895630825472,0.022361519641245275,0.019576374539966794,0.0018251031015452924,0.001131189835781421,0.030723998571881198,-0.007607700966267304,0.07924416242592197,0.0341070069649127,0.03880594269199828,0.02405173050439604,0.06635545232203824,0.05966204275447821,0.07014775335879388,0.06530023574231567,0.0042946503003200385,0.002661802921623657,200.91237676011616,409.0
Bronglais Hospital,26.595744680851062,19.52127659574468,33.56382978723404,26.702127659574465,5.246549473146741,3.251785300196463,0.0,0.0,0.0,0.0,0.0,,-0.08393516427786166,-0.11259152355973323,-0.05063379757401155,-0.08240322337790676,0.022056631641558695,0.013670590720809686,,,,,,,-0.42034943372785016,-0.46805500226045094,-0.3843579901100978,-0.4247158046655256,0.02949880745507452,0.01828321431956398,0.020634838962741556,0.01445550645718841,0.025953732435144906,0.020358416540044028,0.00409935561110404,0.002540760243412113,,,,,,,0.07811608906229217,0.07169382620235205,0.08643439281677791,0.07885538956710762,0.005195300952924164,0.0032200217219495453,180.70801203782767,
Broomfield Hospital,10.407239819004523,8.699095022624434,11.68552036199095,10.339366515837103,1.0667926633337554,0.661192793233214,0.4524886877828055,0.22624434389140274,0.6787330316742082,0.4751131221719458,0.19809842438255953,0.12278041933967121,-0.09726653897316284,-0.1098523199538077,-0.07019415614378963,-0.09180514578052892,0.015158883341809228,0.009395400590537728,-0.5115077698483487,-0.7310583599478871,-0.10489177958322614,-0.48372309772069205,0.23302260587348952,0.1444262535350525,-0.4329697610852057,-0.46029853150644534,-0.409097724980405,-0.43490172061894067,0.019025346195068973,0.011791815059578215,0.023111136875498275,0.018082800697524215,0.025466889283614916,0.022099208372488275,0.002819150592579015,0.0017472955325989331,0.10413359636838526,0.025589101805766644,0.14570545990180603,0.09858453034923945,0.04466620196247716,0.0276838900882556,0.08031674112678769,0.07613606013448358,0.08516432001309639,0.08066991228708845,0.003358898266143055,0.0020818284593718678,175.4543486828329,323.1333333333333
Calderdale Royal Hospital,14.343598055105348,11.118314424635331,16.288492706645055,13.922204213938409,1.9076969867073013,1.182381115503567,0.5672609400324149,0.0,0.8265802269043757,0.48622366288492713,0.30561071039937227,0.18941600012459892,-0.11677193929653037,-0.13024017058144088,-0.10635363678721234,-0.11851724929708936,0.009177293801247514,0.005688041108012659,-0.24409262967377998,-0.5012975699058765,-0.11836984872471724,-0.2710202989607237,0.15858384252474017,0.09828947780060282,-0.4615872067127812,-0.48213205093325684,-0.44041002857738176,-0.46100620542449944,0.01619199423776137,0.010035717591668603,0.026729770495605806,0.024797604249013425,0.02922085173812897,0.027051983141751078,0.0017005105614425232,0.0010539679983635163,0.05309894275742202,0.028382967816723666,0.10209075874516357,0.05784033393741463,0.030558214185193566,0.018939829348081756,0.08537903356422846,0.08151929522646376,0.08889113681611098,0.08519919755704927,0.0028518826986277624,0.0017675827293248125,155.50868288845174,415.625
Charing Cross Hospital HASU,13.039215686274511,11.813725490196079,15.245098039215685,13.274509803921571,1.2471506248667628,0.7729777618279492,4.215686274509803,2.941176470588235,4.833333333333332,4.03921568627451,0.6867412045262064,0.42563878704419356,-0.11364587299029758,-0.1280637116917222,-0.09760353956022372,-0.11405018178689427,0.010730011967731594,0.006650408114168532,-0.4558076924226489,-0.5015671287493486,-0.3259246725762316,-0.4348130483609056,0.06837212724080906,0.04237670481194883,-0.46354981824149466,-0.47957025643533996,-0.42270630914807694,-0.45787766621807596,0.02040589636763461,0.012647473198381609,0.026158356310758933,0.023162648992724497,0.028845189050886476,0.026226726790456005,0.0019961656734081724,0.001237213568035276,0.09314145026441309,0.06806579764581329,0.10183488427487829,0.08903409070945435,0.013171955279836898,0.008163912448180752,0.0856256737922411,0.07852641178641842,0.08855769988667109,0.0846846622818335,0.0035896765136289996,0.002224863670727606,161.1211529903233,328.3832203761151
Chesterfield Royal,8.137254901960784,6.558823529411765,9.343137254901961,8.03921568627451,1.0040713395906677,0.6223184283576826,0.0,0.0,0.4999999999999998,0.15686274509803924,0.2226063577245281,0.13797031467707468,-0.08722899052287864,-0.1030749990014537,-0.0501802491678178,-0.08386298039893213,0.02048117076166736,0.012694127893862858,-0.47996740938826576,-0.6575504878348579,-0.1871986894217944,-0.44608927952947774,0.22845674313829556,0.14159635449359476,-0.3960995019127216,-0.45084474668494934,-0.33205890526589754,-0.3905154434766867,0.04172900122739304,0.025863427663769145,0.02125411073709292,0.014338684780206725,0.02421234928689204,0.020622271939904898,0.003826106062275142,0.002371401530468501,0.0978808031143801,0.04190294083305869,0.1318398966650646,0.09140469466419278,0.043674897050421026,0.027069484228264093,0.07378166162981555,0.06233318386942374,0.0834722243341433,0.07277021658319201,0.007407348570713716,0.004591037846676652,188.88464609061515,293.5
Colchester General Hospital,9.74155069582505,8.439363817097416,11.968190854870775,9.920477137176936,1.330176876603718,0.8244370202053819,0.3976143141153081,0.19880715705765406,0.9244532803180907,0.4572564612326044,0.29710419842889185,0.18414370626305587,-0.10071228195216358,-0.10882790740546362,-0.09386383820630957,-0.10131532501611636,0.005196599154280172,0.0032208263407009358,-0.07210481375199691,-0.2249939609708672,0.10475955610357612,-0.055669210312704706,0.12639301736138983,0.07833776427857363,-0.4051455557523155,-0.44597377092701057,-0.36229267690166295,-0.40215473055029777,0.030285704385957773,0.018770929128261116,0.023761621823704546,0.02250459297334483,0.025277283726309274,0.02388246747814614,0.0009640627917451146,0.0005975213291532881,0.019591669297221424,-0.014764438964241733,0.04921128965983334,0.016376504538477093,0.024520262269620004,0.015197536745515453,0.07544738423564795,0.06796843339417252,0.08267058865563967,0.07494623313051732,0.005328066334914175,0.0033023090461689747,175.74891830002394,524.3166666666667
